identity_id,identity_dir,num_images_found,num_images_success,num_images_failed,num_templates_added,status,reason
102066,D:\Liang\Pcode\Face Recognition System\identities\102066,,,,15,skipped,already_exists_in_gallery
102067,D:\Liang\Pcode\Face Recognition System\identities\102067,,,,15,skipped,already_exists_in_gallery
102068,D:\Liang\Pcode\Face Recognition System\identities\102068,,,,15,skipped,already_exists_in_gallery
102069,D:\Liang\Pcode\Face Recognition System\identities\102069,,,,15,skipped,already_exists_in_gallery
102070,D:\Liang\Pcode\Face Recognition System\identities\102070,,,,15,skipped,already_exists_in_gallery
102071,D:\Liang\Pcode\Face Recognition System\identities\102071,,,,15,skipped,already_exists_in_gallery
102072,D:\Liang\Pcode\Face Recognition System\identities\102072,,,,15,skipped,already_exists_in_gallery
102073,D:\Liang\Pcode\Face Recognition System\identities\102073,,,,15,skipped,already_exists_in_gallery
102074,D:\Liang\Pcode\Face Recognition System\identities\102074,,,,15,skipped,already_exists_in_gallery
102075,D:\Liang\Pcode\Face Recognition System\identities\102075,,,,15,skipped,already_exists_in_gallery
102076,D:\Liang\Pcode\Face Recognition System\identities\102076,,,,15,skipped,already_exists_in_gallery
102077,D:\Liang\Pcode\Face Recognition System\identities\102077,,,,15,skipped,already_exists_in_gallery
102078,D:\Liang\Pcode\Face Recognition System\identities\102078,,,,15,skipped,already_exists_in_gallery
102079,D:\Liang\Pcode\Face Recognition System\identities\102079,,,,15,skipped,already_exists_in_gallery
102080,D:\Liang\Pcode\Face Recognition System\identities\102080,,,,15,skipped,already_exists_in_gallery
102081,D:\Liang\Pcode\Face Recognition System\identities\102081,,,,15,skipped,already_exists_in_gallery
102082,D:\Liang\Pcode\Face Recognition System\identities\102082,,,,15,skipped,already_exists_in_gallery
102083,D:\Liang\Pcode\Face Recognition System\identities\102083,,,,15,skipped,already_exists_in_gallery
102084,D:\Liang\Pcode\Face Recognition System\identities\102084,,,,15,skipped,already_exists_in_gallery
